text,entity,entity_tag,entity_pos_start_rel,entity_pos_end_rel,category
китай забанить блогер фейк кликбейт,китай,COUNTRY,2,7,0
это год нобелевский премия мир претендовать 200 человек 85 организация .,нобелевский,PERSON,15,26,0
"президент заявить , , « многочисленный просьба » , пересмотреть обвинение убийство , выдвинуть голстейн , который прошлый служить спецвойско ( « зелёный берет » ) .",зелёный берет,ORGANIZATION,150,164,0
правительство палестина глава премьер - министр ахмед курей | ахмед курей подать отставка .,правительство,ORGANIZATION,0,13,0
адвокат алёхин оксана даров заявить политический ангажированность весь процесс : « маша являться человек крайне активно участвовать гражданский жизнь страна — всюду 5 - летний филипп .,алёхин,PERSON,8,16,0
"встреча принимать участие председатель партия , миллиардер бидзин иванишвили глава правительство квирикашвили .",бидзин иванишвили,PERSON,61,79,0
"аккаунт лидер основатель рок - группа « жар - птица » ( г . дубна ) сергей попов дом культура ( мм дк ) появиться сообщение отмена , наметить 29 март 2020 год презентация бокс - сет команда « антология » , выпустить издательство « перец рекордз » .",жар - птица,ORGANIZATION,43,52,0
"крестный ход , который принимать участие житель несколько область республика россия , посвятить 430 - й годовщина явление чудотворный казанский икона божий мать .",россия,COUNTRY,81,87,0
"78 - летний веннер , бывший член « секретный вооружённый организация » ( oas ) — террористический движение националистический толк , вторник застрелиться глаз множество турист внутри посещать здание франция .",oas,ORGANIZATION,67,70,0
"россиянин оценить нестандартный сюжет картина , который повествовать чернокожий музыкант дон ширлить шофер — италоамериканец тони валлелонг , который приходиться поехать гастроль южный штат америка , 1960 - х год сей пора сильный расовый предрассудок .",музыкант,PROFESSION,78,87,0
"гейтс сравнить переход традиционный туалет модель , использовать вода , развитие техника середина 1970 - х год , создать microsoft .",гейтс,PERSON,0,5,0
мид россия потребовать реакция сша сообщение хакерский атака,хакерский,PROFESSION,49,58,0
чехов единственный забитый мяч счёт вацлав пиларжа .,чехов,NATIONALITY,2,7,0
' стив ирвин ' ( steve irwin ) — известный австралийский натуралист телевизионный ведущий погибнуть укол жалить скат время подводный съёмка .,натуралист,PROFESSION,53,63,0
"предварительный результат парламентский выборы , состояться азербайджан , победа подавлять преимущество одержать партия « новый азербайджан » президент страна ильхам алиев .",новый азербайджан,ORGANIZATION,135,152,0
аятолл хаменея назвать удар сирия преступление,аятолл,PROFESSION,0,7,0
"бывший президент бразилия луис силва пройти курс химиотерапия прошлый год , врач сообщить , лечение уменьшить опухоль 75 процент .",врач,PROFESSION,81,86,0
"также предположить , сша намерить добиться начало страна гуманитарный кризис уморить венесуэльский народ голод .",венесуэльский,NATIONALITY,96,109,0
"выдвижение кандидатура керри , представлять сенат штат массачусетс номинироваться пост президент 2004 год , ожидаться ещё прошлый неделя , представитель сша оон сьюзан райса попросить президент обама снять кандидатура .",сша,COUNTRY,177,180,0
халк 21 - й минута решиться выстрел - предел штрафной .,халк,PERSON,0,4,0
"политик добавить , намеренный вернуться работа поддержка независимый кандидат выборы мосгордума .",политик,PROFESSION,0,7,0
"надаля это шестой поражение сербский теннисист это год , причём каждый проигрывать финальный матч различный чемпионат , число — уимблдон .",теннисист,PROFESSION,54,64,0
"слово рэппа , это произойти вечеринка дом спейся , всё гость разойтись .",спейся,PERSON,54,60,0
"сообщать официальный блог создатель компьютерный антивирус mcafee джон макафи ( john mcafee ) , 1 декабрь 2012 год полиция белиз арестовать миллионер попытка пересечение граница белиз мексика : ' ' « получить неподтверждённый сведение , джон макафи схватить граница белиз мексика » ' ' .",john mcafee,PERSON,86,97,0
первообраз храниться церковь святитель николай чудотворец село балыкино погарский район брянский область .,николай чудотворец,PERSON,39,57,0
"хореограф уверенный , спектакль сегодняшний день , день минувший — современный эмоция , прямой параллель действительность оставлять равнодушный зритель наш время .",хореограф,PROFESSION,0,9,0
киев стартовать творческий проект « антропоморфий украинский степь »,украинский,COUNTRY,51,61,0
"бывший фронтмен группа dion and the belmonts , певец композитор дион димуччи подать суд компания zenimax media .",композитор,PROFESSION,54,64,0
"президент сша барак обама пятница официально выдвинуть кандидатура сенатор - демократ джон керри пост государственный секретарь , начать самый работа формирование новый аппарат национальный безопасность .",государственный секретарь,PROFESSION,107,133,0
исполнитель роль тьюринг бенедикт камбербэтч кинофестиваль торонто 2014 год,бенедикт камбербэтч,PERSON,26,45,0
"22 - летний старшов прийти группировка вместе певица флорида чантурия апрель 2016 год , сразу уход алиса вокс .",старшов,PERSON,10,18,0
журналист андреа рокелли российский коллега андрей миронов погибнуть результат миномётный обстрел вблизи славянск восток украина .,журналист,PROFESSION,0,9,0
"греческий демонстрант собраться центральный площадь синтагматос , пойти посольство сша .",посольство сша,ORGANIZATION,91,105,0
"« погибнуть мученический смерть , защищать республика » , — заявить лидер всеобщий народный конгресс файк аль - саид , обвинить убийство салех мятежник - хути ( хусит — шиитский повстанец ) .",лидер всеобщий народный конгресс,PROFESSION,62,97,0
"64 - летний лидер гражданский инициатива « свобода , демократия , правда » , иванович считаться умеренный политик .",политик,PROFESSION,98,107,0
настоящий время её жизнь бороться врач 17 - й больница украинский столица .,украинский,COUNTRY,58,68,0
"словакия , мнение земан , должный отправиться супруг экс - президент чехия ливия клаусов .",президент чехия,PROFESSION,61,77,0
"судебный процесс , начаться минувший среда гаага международный трибунал дело бывший югославия ( мтбь ) , бывший командующий армия боснийский серб генерал ратко младич предъявить 11 обвинение .",мтбь,ORGANIZATION,111,115,0
день старший дочь президент – малия – исполняться 14 год .,президент,PROFESSION,27,37,0
"кейт выдвинуть партия "" объединение мали "" ( rassemblement pour le mali , rpm ) , руководитель который являться .",мали,COUNTRY,39,43,0
"сша назвать шаг « значительный эскалация » конфликт сирийский правительство повстанец , противостоящий президент башар асад .",сирийский правительство,ORGANIZATION,63,87,0
президент республика македония георге иванов 13 июнь 2018 год отказаться подписать соглашение переименование страна республика северный македония .,президент республика македония,PROFESSION,0,30,0
"потребоваться четыре сет четыре час , одержать победа соперник , который победить прошлогодний финал ' ' us open ' ' .",us,COUNTRY,142,144,0
"1931 год самбук работать институт оленеводство васхнил , совмещать работа работа ботанический институт .",самбук,PERSON,12,18,0
"владислав сурков , дмитрий рогозин аркадий дворкович",дмитрий рогозин,PERSON,18,33,0
"« спартак » смочь помочь инсаурральд парех , получить красный карточка , также эменик , получить четвёртый жёлтый карточка сезон .",спартак,ORGANIZATION,4,12,0
пластинка автограф леннон убийца продать акцион сша,леннон,PERSON,23,30,0
"палестинец убить , сотня человек получить ранение результат столкновение .",палестинец,NATIONALITY,4,14,0
"однако президент , который возвращаться домой германия 8 июль , изменить план « лично продиктовать заявление имя трамп - младший , который говориться , сын российский адвокат „ главный образ обсуждать программа усыновление российский ребёнок “ » , писать ' ' washington post ' ' , ссылаться анонимный источник , знакомый ситуация .",трамп - младший,PERSON,117,132,0
пятница — 28 июнь 2013 год российский прокуратура обратиться московский суд просьба ограничить свобода передвижение медиамагнат александр лебедев 21 месяц избиение свой оппонент — сергей полонский телешоу .,прокуратура,ORGANIZATION,41,52,0
"полицейский франция застрелить шериф шекатта ( ch rif chekatt ) , 29 - летний уроженец страсбург , подозревать вооружённый нападение прохожий центр город .",франция,COUNTRY,15,22,0
столичный клуб эйсебио 11 становиться чемпион португалия 3 — вица - чемпион страна .,португалия,COUNTRY,54,64,0
"руководство ods top 09 подобный условие необходимо просчитать политический ход , получить хороший счёт свой польза предстоящий выборы .",ods,ORGANIZATION,12,15,0
"это успеть поработать известный it - компания , sun novell , однако больший заслуга добиться именно пост руководитель google .",руководитель google,PROFESSION,128,147,0
"американский военный провинция бадгис , афганистан , 2011 год",американский военный,PROFESSION,0,20,0
несколько час убийство чэпмена подойти леннон вход дом попросить подписать экземпляр ' ' double fantasy ' ' .,чэпмена,PERSON,31,37,0
это кандидат республиканский партия дональд трамп стать комментировать последний инцидент здоровье хиллари клинтон .,хиллари клинтон,PERSON,113,128,0
"группа состоять участник : мэттью белла ( вокал , гитара , клавиша ) , крис уолстенхолма ( бас - гитара , бэк - вокал , вокал ) доминик ховард ( ударный ) .",доминик ховард,PERSON,128,144,0
"разговор тайный агент фбр , который притворяться представитель иго , джеймсон просить автомат компонент изготовление бомба .",тайный агент фбр,PROFESSION,14,34,0
персональный выставка народный художник ссср александр шилов неоднократно проходить белоруссия .,художник,PROFESSION,32,41,0
"свой сторона мочь сказать , россельхознадзор — , частность , глава россельхознадзор — действовать согласно существующий законодательный база , российский , международный .",глава россельхознадзор,PROFESSION,71,94,0
"август 1995 год солоник появиться афины , последующий год скрываться граница , начало 1997 год вместе известный фотомодель , манекенщица московский агентство red stars финалистка конкурс красота « мисс россия - 96 » 22 - летний светлана котов осесть греция имя владимир кесова .",солоник,PERSON,24,31,0
"амато предложить , католик весь мир начать организовать протест против фильм « код винчи » точно , протест против фильм мартин скорсез ( martin scorsese ) « последний искушение христос » 1988 год .",martin scorsese,PERSON,169,184,0
сообщение пресс - служба цб рф говориться :,пресс - служба цб рф,ORGANIZATION,12,30,0
"вопреки предсказание большинство спортивный аналитик , сборная россия , считаться главный кандидат выход следующий раунд турнир группа « » , смочь обыграть грек , команда который копилка это матч весь очко .",спортивный аналитик,PROFESSION,34,55,0
"генпрокуратор украина считать , организовать акция протест финансироваться россия окружение экс - президент виктор янукович , частность , сергей курченко , направить свержение государственный власть .",украина,COUNTRY,15,22,0
"хакер конфисковать ноутбук asus , usb модем dvd диск вредоносный .",хакер,PROFESSION,2,8,0
"великобритания прекратить экспорт тиопентал натрий ноябрь , правозащитный организация « reprieve » ( дословно « отсрочка » ) предъявить правительство иск требование прекратить экспорт указанный вещество сша .",отсрочка,ORGANIZATION,125,133,0
7 июнь 2013 год следственный комитет россия челябинский область сообщить завершение расследование уголовный дело отношение мужчина определённый место жительство обвинять совершение насильственный действие сексуальный характер отношение 11 - летний мальчик пожилое мужчина .,следственный комитет россия,ORGANIZATION,17,44,0
"аветисян также поблагодарить содействие принятие резолюция автор — конгрессмен хетч , также джеймс галстян шериф мидлесекс питер кутунджян усилие защита сша интерес арцах .",сша,COUNTRY,183,186,0
министр иностранный дело венесуэла хорх арреас назвать санкция « плохой акт агрессия против венесуэла последний 200 год » .,министр иностранный дело венесуэла,PROFESSION,0,33,0
", это прекрасный подарок весь спортсмен болельщик год 80 - летие самбо наш страна .",спортсмен,PROFESSION,39,50,0
"выступать церемония белый дом , обама назвать керри ' ' « хороший кандидатура , вести вперёд американский дипломатия предстоящий год » ' ' .",американский,COUNTRY,110,122,0
"приговор отмечаться , суд найти вина врач смерть агафонов .",агафонов,PERSON,62,71,0
"версия прокурор , смилянец продавать похитить дать , собранный четыре член группировка .",прокурор,PROFESSION,10,20,0
ранее озабоченность связь организация выборы подсчёт голос зимбабве выражать представитель сша .,зимбабве,COUNTRY,73,81,0
"стать известно , руль автомобиль honda cr - v находиться 28 - летний архитектор кристина белецкий , который также получить тяжёлый травма .",архитектор,PROFESSION,72,82,0
владимир путин поздравить владимир машков 50 - летний юбилей,владимир путин,PERSON,0,14,0
"галина босой , вадим демид ( хроноп ) , александр кушнир .",галина босой,PERSON,0,12,0
депутат госдума « справедливый россия » илья пономарёв назвать её серьёзный удар правительство дмитрий медведев :,депутат госдума,PROFESSION,4,19,0
"слово , президент , полномочие который истекать год , стремиться помочь свой человек занять достойный место чиновничий иерархия - , помочь ранее экс - глава мвд башкирия рафаил диваева , который отставка федеральный министерство республика назначить вица - премьер .",глава мвд башкирия,PROFESSION,171,192,0
певец композитор остаться полугодовалый сын макарий .,макарий,PERSON,48,55,0
"однако эколог , человек , который иметь репутация подковать специалист наш сфера , немой видеть , равно - нибыть позитивный сигнал , избрать депутат » , — сказать .",депутат,PROFESSION,180,190,0
"элис уолтон проживать одноэтажный дом площадь 411 . 7 м лошадиный ранчо ' ' walton ’ s rocking w ranch ' ' , общий площадь 1300 га , миллсап , штат техас ( millsap , tx ) , сша .",сша,COUNTRY,170,173,0
"заявление британский правительство говориться , оценка национальный центр кибербезопасность ( ncsc ) , кибератака « наверняка » провести гру .",британский,COUNTRY,12,23,0
это утренний нападение сирия преступление твёрдо заявлять президент сша франция премьер министр великобритания совершить тяжкий преступление добиться никакой результат добиться свой ирак сирия афганистан последний год совершать преступление,сша,COUNTRY,78,81,0
"против принятие закон выступить эдвард сноуден [ http : / / www . rbc . ru / politics / 07 / 07 / 2016 / 577 e 4 ccc 9 a 79471 b 73 c 814 b 5 сноуден назвать принятие закон яров чёрный день россия ] , лидер лдпр владимир вольфович жириновский [ https : / / www . youtube . com / watch ? v = vcegzd 6 asfe жириновский . . — .",яров,PERSON,142,148,0
"несмотря сокрушительный весь финансовый сектор сша кризис 2007 - 2009 год , фонд остаться плав , инвестировать u . s . bancorp , mastercard , western union chubb corp .",mastercard,ORGANIZATION,135,145,0
"сша назвать шаг « значительный эскалация » конфликт сирийский правительство повстанец , противостоящий президент башар асад .",сирийский правительство,ORGANIZATION,63,87,0
"декабрь 2017 год иго выпустить второй часть фильм « пламя война » , очередной упомянуть массовый убийство ласа - вегас , который устроить стивен пэддок .",иго,ORGANIZATION,20,22,0
"главный приз жюри категория « хороший документальный фильм » получить картина « кровный брат » , рассказывать работа американец индийский община , член который страдать спид .",индийский,COUNTRY,130,139,0
"завод , занимать лидировать позиция производство ветроэлектрический установка великобритания , планироваться закрыть конец июль , повлечь увольнение 625 человек .",великобритания,COUNTRY,84,98,0
найти мордовский браслет ордынский монета ( сом ) определить возраст могильник .,мордовский,NATIONALITY,13,23,0
"ирландия , великобритания , португалия , греция италия самолёт цру совершать промежуточный посадка .",цру,ORGANIZATION,65,68,0
"саакашвили занимать пост президент грузия 2004 2013 год , затем покинуть страна .",президент грузия,PROFESSION,24,41,0
"менее немногое ранее американский экономист десмонд лакман призвать греция , ирландия , испания португалия , чей экономика являться самый проблемный ес , добровольно выйти зона евро .",американский,NATIONALITY,28,40,0
"азимов регулярно переговариваться женщина , который недавно уехать сирия .",сирия,COUNTRY,70,75,0
"толпа сторонник , собраться здание госпиталь пиларь , проводиться операция , встретить новость здоровье президент крик радость .",президент,PROFESSION,115,125,0
"сюжет комикс взяться дэвид уокер , художник джонас шарф .",джонас шарф,PERSON,59,70,0
"вождь пляска солнце племя чокто бен карнс намеренный провести голодовка , стоя белый дом",бен карнс,PERSON,37,46,0
казахстан забастовка нефтяник перерасти масштабный беспорядок,казахстан,COUNTRY,2,12,0
"кроме , немой лежать ответственность управление весь сельскохозяйственный актив berkshire hathaway , объединить компания buffett farms .",berkshire hathaway,ORGANIZATION,92,110,0
69 - летний керри выполнять несколько важный дипломатический миссия администрация обама .,администрация обама,ORGANIZATION,69,88,0
"случай бюджет принять "" быстро "" , монтить готовый немедленно сложить полномочие .",монтить,PERSON,44,49,0
"весь muse выпустить семь студийный альбом четыре концертный альбом , продажа который превысить 15 млн , также стать обладатель награда mtv europe music awards , q awards , nme awards , brit awards , kerrang !",mtv,ORGANIZATION,142,145,0
"норвежский полиция считать , андрес брейвика действовать одиночка , отец фанатик отречься сын .",полиция,ORGANIZATION,11,18,0
решение тихоокеанский государство 16 сентябрь сообщить мид тайвань .,мид тайвань,ORGANIZATION,57,68,0
24 февраль 2010 год город северодвинск сцена театр драма состояться спектакль « будить спать собака » мотив пьеса английский драматург джон бойнтон пристлить « опасный поворот » написать 1932 год .,английский,NATIONALITY,129,140,0
"руководство ods top 09 подобный условие необходимо просчитать политический ход , получить хороший счёт свой польза предстоящий выборы .",top 09,ORGANIZATION,18,24,0
"президент китай ху цзиньтао американский президент барак обама пекин , китай , 17 ноябрь 2009 год .",ху цзиньтао,PERSON,16,27,0
"гражданин беларусь , проживать сша , приговорить 41 месяц заключение участие интернет - мошенничество ; накануне , 23 2 июнь 2011 год , окружный федеральный суд штат массачусетс приговорить 41 месяц тюрьма проживать нантакета ( штат массачусетс ) гражданин беларусь .",сша,COUNTRY,34,37,0
селезнёв арестовать мальдивы экстрадирован сша .,мальдивы,COUNTRY,26,35,0
"оппозиция обвинять диктаторский стиль правление , однако значительный часть малоимущий слой население венесуэла боготворить .",венесуэла,COUNTRY,108,117,0
"экономист полагать , март экономика начаться рецессия .",экономист,PROFESSION,0,10,0
"российский власть свой очередь также добиваться выдача винник , выдвинуть против менее серьёзный обвинение .",винник,PERSON,57,64,0
"25 октябрь объявить , управлять небольшой фонд коннектикут тодда коумс ( todd combs ) стать инвестиционный менеджер компания berkshire hathaway , причём руководство отдать "" значительный часть "" актив компания .",управлять небольшой фонд,PROFESSION,33,61,0
"« » голосовать инициатор резолюция сша , воздержаться бразилия , индия , юар ливана .",юар,COUNTRY,74,77,0
"среди продюсер альбом числиться : тимбалэнд , джастин тимберлейк duran duran .",тимбалэнд,PERSON,35,44,0
"« американский гражданин пенсионер фридрих трумп , настоящий время проживать кальштадт , настоящий уведомляться необходимость покинуть бавария .",пенсионер,PROFESSION,26,35,0
"весна 2000 год рено санкционировать вооружённый захват пятилетний мальчик элиан , возмутить американец кубинский происхождение её родный город .",элиан,PERSON,78,84,0
"сергей большак — сведение , мастеринг работа ошибка ;",сергей большак,PERSON,0,16,0
"« спартак » приблизиться идти третий место цска , сократить отставание семь очко .",цска,ORGANIZATION,52,56,0
"вопреки предсказание большинство спортивный аналитик , сборная россия , считаться главный кандидат выход следующий раунд турнир группа « » , смочь обыграть грек , команда который копилка это матч весь очко .",спортивный аналитик,PROFESSION,34,55,0
""" москва фигура мочь оказаться приемлемый , сарбаев , исходить хотя русский национальность большой опыт экономический управление "" , - заявить господин бигнов .",русский,NATIONALITY,92,99,0
"разговор агент джеймсон говорить , нужный план побег , поскольку готовый умереть .",агент,PROFESSION,14,21,0
"ранее предполагаться , сегодня власть венесуэла официально объявить , президент страна уго чавес , который перенести операция удаление раковый опухоль , пропустить свой инаугурация третий президентский срок остаться куба прохождение восстановительный терапия .",президент страна,PROFESSION,76,92,0
"19 апрель 2017 год музей современный искусство украина состояться выставка - презентация картина , участвовать конкурс « женщина — дерево жизнь » обложка первый номер журнал ' ' magic woman ' ' .",музей современный искусство украина,ORGANIZATION,22,58,0
убийца аспирантка китай приговорить пожизненный заключение сша,китай,COUNTRY,21,26,0
заявление сделать пресс - секретарь талиб карий юсеф ахмади ( yousef ahmadi ) .,yousef ahmadi,PERSON,65,78,0
"пост министр внутренний дело технический кабинет руснок готовить мартин пецин , исполнять обязанность беспартийный правительство ян фишер 2009 - 2010 год .",правительство ян фишер,ORGANIZATION,135,159,0
действовать президент перу мартин вискарра написать twitter :,президент перу,PROFESSION,12,26,0
"заявление британский правительство говориться , оценка национальный центр кибербезопасность ( ncsc ) , кибератака « наверняка » провести гру .",ncsc,ORGANIZATION,103,107,0
действовать президент перу мартин вискарра написать twitter :,президент перу,PROFESSION,12,26,0
бывший сотрудник гру сергей дочь юлия скрипаль найти признак отравление 4 март 2018 год солсбери .,сотрудник гру,PROFESSION,7,20,0
"мероприятие организовать коммунистический партия греция , сообщать агентство associated press .",греция,COUNTRY,49,55,0
"также лидстрёма преуспеть персональный награда , семь получить « норрис трофи » хороший защитник нхл двенадцать участвовать матч весь звезда нхл .",защитник,PROFESSION,94,102,0
"северодвинский сцена роль исполнять : сергей виконтович астахов ( козлов ) ( ' ' роберт кэплена ' ' ) , эвелина висвальдович блёданс ( ' ' фред ' ' ) , татьяна альбертович абрамов ( ' ' олуэн пиил ' ' ) , ольга альбертович арнтгольц ( бетти ) , андрей игоревич харитон ( ' ' чарльз трэвор стэнтон ' ' ) , вахтанг ираклиевич беридзе ( ' ' гордон уайтхауз ' ' ) .",сергей виконтович астахов,PERSON,40,65,0
"слово прокурор , мюррей необходимый оборудование , который мочь спасти жизнь певец .",певец,PROFESSION,96,101,0
"суббота , 21 июль 2018 год , арена ск « олимпийский » москва украинец александр усик победить уроженец северный осетия россиянин мурат гассиева финал всемирный боксёрский суперсерия ( wbss ) , стать абсолютный чемпион мир первый тяжёлый вес , обладатель кубок мохаммед али , пояс чемпион мир версия wba super , wbc , ibf , wbo , также титул журнал the ring .",украинец,NATIONALITY,65,73,0
свой очередь ассоциация защита право избиратель « голос » свой сайт www . golos . org заявлять многочисленный факт нарушение ход прошедшее единый день голосование .,ассоциация защита право избиратель « голос »,ORGANIZATION,15,60,0
"однако заговор провалиться , мартин , нога который татуировка образ бибер , передумать сообщить власть .",бибер,PERSON,86,92,0
