Sentence,Aspect Term,polarity
Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Core Processing Unit temperatures,neutral
"Fan vents to the side, so no cooling pad needed, great feature!",feature,positive
"I contacted Acer and they are giving me FREE recovery DVDs, so don't go and pay for them, just ask for them and they should give them to you.",recovery DVDs,positive
"That's very possible, but since they don't make Windows XP drivers for the sound card in this machine, I was stuck until Windows 7 came out.",Windows 7,positive
I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS,CHARGE TIME,negative
The people there just changed for me on the spot and I got a new arm piece and they didn't even request for a receipt.,arm piece,positive
LOVE THIS LAPTOP WONDERFUL PRICE FOR WHAT YOU GET!,PRICE,positive
"The other lock-up problems are from a myriad of causes, the most common being a corrupted version of Appleworks which can render the browser useless.",Appleworks,negative
"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.",windows,neutral
"Laptop is advertised as a 15"" but the casing looks like that of a 17"".",casing,negative
I was said it's videocard.,videocard,negative
"Some features arent friendly ( volume wheel, sound quality, etc.",sound quality,negative
This laptop looked brand new and was shipped very quickly.,shipped,positive
"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port.",extended life battery,neutral
"Only other thing is that if you are using this for document creation Apple doesnt provide any kind of word processor (such as works for windows), but iwork is cheap compared to office.",office,negative
It discharges too quickly.,discharges,negative
The first one sent: Touchpad didn't work The second sent: USB didn't work The third sent: Touchpad didn't work The fourth sent: Hasn't arrived yet.,USB,negative
There is nothing to complain about the system.,system,positive
The store honored their warrenty and made the comment that they don't even recommend the HP brand because of the problems with their warrentys.,warrenty,positive
Supplied software: The software that comes with this machine is greatly welcomed compared to what Windows comes with.,Supplied software,neutral
There is hardly any memory on the computer's hard drive.,hard drive,negative
Peformance is good for the price.,price,positive
My battery went bad about a year and a half after having it and it cost around eighty to a hundred dollars!,battery,negative
"I had to adjust my mousepad sensitivity, because it is very sensitive.",mousepad sensitivity,negative
"I also love the design, the looks, the feel, and the my toshiba feature is wonderfull.",design,positive
"It did fairly well, other than it's poor performance, overheating and occational blue screen.",performance,negative
"The screen is nice and the images comes very clear, the keyboard and the fit just feels right.",fit,positive
I can have both OSX and Windows XP running at the same time!,OSX,positive
I've been impressed with the battery life and the performance for such a small amount of memory.,battery life,positive
"The battery life, before the battery completely died of course, left much to be desired.",battery life,negative
"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port.",bluetooth mouse,neutral
THE FIRST PROBLEM IS THAT THE KEYBOARD FUNCTION IS SIMPLY UNSATISFACTORY.,KEYBOARD FUNCTION,negative
The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,computing,negative
"As usual at customer service center, she asked me to hold for a moment while she went to the back-office and compare it with other same model netbooks and discussed it with her colleague (I could see them).",customer service center,negative
) I also tried the touch pad and compared it to other netbooks in the store.,touch pad,neutral
"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service,negative
"While most people say that PCs hold functionality and value and Macs are just pretty to look at, I think there's something to be said about the simplicity of Macs.",value,positive
"Typically, when I purchase a new laptop I always end up using an external mouse for convenience.",external mouse,neutral
"I was loving this Netbook because it had an amazing screen and display and was small and light, but after 1 week it stopped openning web pages for me (even after installing new browsers) then eventually it just started giving me a blue screen and crashing everytime I booted it.",browsers,neutral
The magnetic plug-in power charging power cord is great (I even put it to the test by accident)- excellent innovation!,magnetic plug-in power charging power cord,positive
It's color is even cool.,color,positive
My wireless system would not recognize Windows 7 and I couldn't get online to find out why.,Windows 7,neutral
"I reloaded with Windows 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.",software,negative
the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side.,wireless switch,negative
The processor is very quick and effective as I load webpages and applications.,webpages,neutral
"I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs.",features,positive
I love the glass touchpad.,glass touchpad,positive
"First, it does not have a push button to open the lid.",push button,negative
It works really well.,works,positive
The only bad thing about it is they give you the worst batteries possible.,batteries,negative
"I had static in the output, and I had to reduce the sound output quality to ""FM"" as opposed to the default ""CD.",sound output quality,negative
"There is no cd drive on the computer, which defeats the purpose of keeping files on a cd.",cd drive,negative
"However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.",size,positive
Disappointing for such a lovely screen and at a reasonable price,price,positive
The paint wears off easily due to the keyboard being farther back than usual.,paint,negative
"It works great for general internet use, Microsoft Office apps, home bookkeeping, etc.",Microsoft Office apps,positive
The buttons you have to press a little harder than most.,buttons,negative
A great computer for light home use and business use.,home use,positive
"The big screen allows you to enjoy watching movies , pictures and etc!",screen,positive
I need graphic power to run my Adobe Creative apps efficiently.,graphic power,neutral
I especially like the backlit keyboard.,backlit keyboard,positive
"With awesome graphics and assuring security, it's perfect!",security,positive
"Garageband is easy to work with, like all the other apple applications I've had experience with.",Garageband,positive
"All of the programs (Keynote, Pages, Numbers) have an option to save your documents as Microsoft compatible, which really eliminates the need for the actual.",Pages,neutral
"They say it could be the motherboard again, but Dell",motherboard,negative
"All of the programs (Keynote, Pages, Numbers) have an option to save your documents as Microsoft compatible, which really eliminates the need for the actual.",Keynote,neutral
The speakers are terrible and are probably the cheapest ones I have ever seen in a laptop so if your planning to listen to music I suggest you get something better.,speakers,negative
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",external mouse,neutral
"I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.",connections,negative
"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.",Bluetooth,neutral
( The iBook backup also uses a firewire connection).,iBook backup,neutral
I will never buy another computer from Dell ever again do to how awful it worked and how I was treated by the company.,company,negative
3 weeks went by and the computer keeps crashing and will not open any applications.,applications,neutral
"Also, because of the size and consistancy of the laptop computer, some websites wouldn't even attempt to work on the computer because of browser problems.",consistancy,negative
The first programm I switched on was a game for my children.,programm,neutral
"One drawback, I wish the keys were backlit.",keys,negative
"  Long story short, since I experience so many problems with my laptop every since I bought it from day one, I didn't ask for a new laptop or a refund of what I pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big deal of out that and after so many calls and complaints about their products and services, they finally gave in.",warranty,neutral
"I connect a LaCie 2Big external drive via the firewire 800 interface, which is useful for Time Machine.",LaCie 2Big external drive,neutral
They say sorry out of warranty.,warranty,negative
"If what you need is a machine to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want.",surfing,neutral
"It's applications are terrific, including the replacements for Microsoft office.",Microsoft office,positive
"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;",Windows 7 Professional,neutral
But if you're willing to pay another 200 dollar for a windows disc.,windows disc,neutral
"First of all, they had no record of me having the 3 year warranty I'd paid almost $400 for, and I had to call in, spend hours on their online chat service, and fax in multiple documents.",online chat service,negative
I would tell the technician I knew exactly what was wrong with it but they did not listen and I had to go through a bunch of junk to get them to tell me I needed to send the computer in.,technician,negative
"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.",performance,negative
"I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs.",programs,positive
And that probably explains why I've already had my SATA controller go bad within a year of buying it.,SATA controller,negative
I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance.,performance,positive
the mouse buttons are hard to push.,mouse buttons,negative
Runs Hot  I thought we were paying for quality in our decision to buy an Apple product.,quality,negative
Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,setup,negative
My husband got me this for Chrismas after getting me a very expensve laptop that did not work after 2 days.,work,negative
The i5 blows my desktop out of the water when it comes to rendering videos.,i5,negative
Again in February my computer completely failed to the point that it could not load Windows so I contacted Acer to get it fixed thru my Warrenty and it took about 3 days fighting on the phone with agents and it seemed as though NONE of them spoke English.,Warrenty,neutral
the speed is fine.,speed,positive
Thank you Best Buy for putting my computer together and installing my first software - you guys were GREAT too!,software,neutral
"The computer runs extremely slowly, whether opening Word or My Computer.",runs,negative
/ awesome cooling system/ much better grafics card (ATI 5870) / 8GB RAM/ LED backlit screen...,grafics card,positive
"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.",Windows 7,neutral
"If you want a little more custom ability, drop a few bucks and upgrade to one of the more robust versions of Win 7 and grab a 2GB stick of memory to spice it all up a bit more.",Win 7,positive
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",operating system,neutral
I got assurances from 2 different people that the remaining 10 months of my warranty would transfer to the new computer.,warranty,positive
The large screen also helps when you are working in design based programs like Adobe Creative Suite.,Adobe Creative Suite,neutral
I still have that stupid bluetooth mouse to!,bluetooth mouse,negative
I would recommend this laptop to anyone looking to get a new laptop who is willing to spend a little more money to get great quality!,quality,positive
"The computer continued to give me issues and in Late June it completely died again and I tried to call Acer again to get it fixed and they refused to help me, they said my warrenty was up and hung up on me.",warrenty,negative
"the mouse on the pad, the left button always sticks.",mouse on the pad,neutral
On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.,trackpad,negative
Keyboard is reasonable size.,size,positive
"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",works,positive
It is speedy when connected wirelessly to any network regardless if the connection is weak or not.,connection,neutral
I am forever changed and will no longer buy a Windows based machine for personal use.,Windows,negative
"Obviously one of the most important features of any computer is the ""human interface.",features,neutral
The real stand out on this computer is the feel of the keyboard and it's speed.,keyboard,positive
"  Then I've fixed the DC jack (inside the unit), rewired the DC jack to the OUTside of the laptop, replaced the power brick.",DC jack,neutral
I can have both OSX and Windows XP running at the same time!,Windows XP,positive
It could be a perfect laptop if it would have faster system memory and its radeon 5850 would have DDR5 instead of DDR3.,system memory,negative
The built in camera is very useful when chatting with other techs in remote buildings on our campus.,built in camera,positive
  also the battery is completely shot.,battery,negative
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Mac software,positive
This is what I call a good after sales service.,after sales service,positive
The battery is really long.,battery,positive
The iLife software that comes with the computer is so simple to use and produces a great finished product.,iLife software,positive
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",movie playing,neutral
"Laptop was in new condition and operational, but for the audio problem when 1st sent for repair.",audio,negative
The only thing I wish is the 15 inch MacBook Pro has much better speakers on the side of the keyboard.,keyboard,neutral
"the touch pad is fine - again, it's a real touch pad.",touch pad,positive
It is not ideal for children because of the temp.,temp,negative
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,system,negative
I regret buying it before understanding how awful it is to use.,use,negative
"I just plug this into my 22"" Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core.","22"" Monitor",neutral
"The Mac Snow Leopard O/S is extremely easy to use, although very different than Win XP, Visa or Win7.",Win7,neutral
"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).",clock in BIOS setup,negative
"The feel of this is better than the Toshiba, too.",feel,positive
"the only problem is that i had to add 1 gb RAM, the computer was kinda slow.",RAM,negative
I went to Toshiba online help and found some suggestions to fix it.,Toshiba online help,positive
I find myself using the 10-key more than I thought I would.,10-key,positive
It has a faster processor and more ram.,ram,positive
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Firefox,neutral
System is loosing about 20% of performance because of that.,performance,negative
The notebook is lacking a HDMI port and a S-video port that would enable one to hook it to a TV.,S-video port,negative
They sent out a Sony 'Certified' technician.,Sony 'Certified' technician,neutral
"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product.",price,positive
"The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers.",keyboard,positive
"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",longevity,positive
The neat and organized icon list is a welcome change from cluttered and confusing desktop icons.,desktop icons,negative
I wish the volume could be louder and the mouse didnt break after only a month.,volume,negative
"I was loving this Netbook because it had an amazing screen and display and was small and light, but after 1 week it stopped openning web pages for me (even after installing new browsers) then eventually it just started giving me a blue screen and crashing everytime I booted it.",display,positive
Another issue I have with it is the battery.,battery,negative
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",tracking area,positive
"I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs.",use,positive
I dislike the quality and the placement of the speakers.,speakers,negative
I wish the volume could be louder and the mouse didnt break after only a month.,mouse,negative
But guess what?  (you have to buy an external dvd drive it doesn't have a built in type) The notebook can't be used because it doesn't read anything for an external drive.,external dvd drive,negative
Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,cords,negative
"While most people say that PCs hold functionality and value and Macs are just pretty to look at, I think there's something to be said about the simplicity of Macs.",simplicity,positive
"Plain and simple, it(laptop) runs great and loads fast.",runs,positive
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Numbers,neutral
"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",programs,positive
I'm really impressed with the quality and performance for the price of the computer.,quality,positive
"Info: Windows failed to load because the kernal is missing, or corrupt.",Windows,negative
"I have never really been big on downloading anything so I wasn't too worried about getting a virus, plus I thought I was protected by Norton.",Norton,negative
I thought the price was great for the specs.,price,positive
Was very much worth the price i paid.,price,positive
You may need to special order a bag.,bag,neutral
It has good speed and plenty of hard drive space.,hard drive space,positive
"They gave me a hard time yet again, but their was a malfunction in the battery itself, it didn't die.",battery,negative
Now I have the best of both worlds with all of the power and ease of the Mac!,power,positive
Windows Vista makes this computer almost unusable for online service.,Windows Vista,negative
Keyboard is reasonable size.,Keyboard,positive
"iTunes is a handy music-management program, and it is essential for anyone with an iPod.",program,positive
I charge it at night and skip taking the cord with me because of the good battery life.,cord,neutral
"If what you need is a machine to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want.",word processing,neutral
"The acer one computer that I bought is 17 ince screen and its hard to find lap top bags for it, but I like the big screen on it.",screen,positive
"It is easy to use, its keyboard easily accommodates large hands, and its weight is fantasic.",keyboard,positive
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",XP,positive
  They replaced my hard drive as well as my mother board.,hard drive,neutral
"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",hook to my wireless network,positive
"I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.",IWORKS,positive
"I have in the past gotten superfine sandpaper and ""fixed"" the edges by rounding them off.",edges,negative
"I know there are way better laptops out there for the same price, and why spend money on shit when you can go out and get yourself a perfectly decent laptop that doesnt suck total monkey balls.",price,neutral
"Do you think I purposely ""destroy"" my netbook, so that I can demand a new set? Do you think it's fun to take public transport all the way to the service center and get a non-satisfactory solution? Or rather NO solution.",service center,negative
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iLife software,positive
"Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.",programs,neutral
great battery life.,battery life,positive
"The driver updates don't fix the issue, very frustrating.",driver updates,negative
"I'm still within the one year warranty but the repair ""depot""  has deemed that this time it was caused by physical abuse and is not  covered.",warranty,negative
The price and features more than met my needs.,price,positive
"It is easy to use, good quality and good price.",price,positive
The battery life was shorter than expected.,battery life,negative
"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",quality,negative
"Three, the mac book has advantages over pcs' with linux based os there is very 'few problems with system performance when it comes to a mac.",linux based os,negative
"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone.",island backlit keyboard,positive
"They said that my computer was covered on an extended warranty, and that products with  extended warranties are taken care of through third parties and not Sony itself anymore.",extended warranty,neutral
"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",security,positive
"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",system,negative
It does not keep internet signals no matter where you bring it.,internet signals,negative
"I am not sure if it was the drive itself, however;",drive,neutral
If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,processor,neutral
Wasted me at least 8 hours of installation time.,installation time,negative
The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.,USB port,negative
"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.",extended warranty,neutral
"It is loaded with programs that is of no good for the average user, that makes it run way to slow.",programs,negative
I would like at least a 4 hr. battery life.,battery life,neutral
Best thing is I can use existing 32 bit old programs.,programs,positive
" One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",power light,neutral
The powerpoint opened seamlessly in the apple and the mac hooked up to the projector so easily it was almost scary.,powerpoint,positive
"I have other computers that get strong signals that don't drop in places that this ""net""book loses its signal.",signal,negative
Good price.,price,positive
Great laptop that offers many great features!,features,positive
The Computer itself is a good product but the repair depot stinks.,repair depot,negative
